Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ig-ee-allergy.json	10992	-	0	0	0	0	0	0	8	74	0	0	0	0	0	0	0	1	0	0	58	51	0	0	0	1	0	1
fsh-generated/resources/AllergyIntolerance-AllergyBiologic.json	2211	11	0	0	1	0	0	0	1	392	0	0	0	0	0	0	0	0	0	0	15	10	0	0	1	0	0	0
fsh-generated/resources/AllergyIntolerance-AllergyEnvironment.json	2284	2	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	13	9	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-AllergyFood.json	2229	3	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-AllergyMedication.json	2496	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	14	9	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-AllergyMedicationFourSubstances.json	4816	4	0	0	0	0	1	0	1	10	0	0	0	0	0	0	0	0	0	0	18	12	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-AllergyPatientReportedDrug.json	1519	2	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-AllergyPatientReportedFood.json	1518	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-noAllergy.json	973	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0
fsh-generated/resources/Condition-AllergyCondition1.json	631	2	0	0	0	0	0	0	1	41	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	0
fsh-generated/resources/Patient-patientExampleMPI.json	774	5	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ee-tis-allergy-condition.json	1325	2	0	31	0	0	0	0	0	942	0	0	0	0	0	0	0	2	0	0	154	1256	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-ee-tis-allergy-diagnosis.json	1552	2	0	7	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	43	107	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ee-tis-allergy-intolerance-medication.json	12694	10	0	5259	0	0	0	0	0	4506	0	0	1	0	0	0	0	0	0	0	303	427	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-ee-tis-allergy-intolerance-no-allergy.json	7126	6	0	34	0	0	0	0	0	937	0	0	0	0	0	0	0	1	0	0	225	294	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-ee-tis-allergy-intolerance.json	14063	8	0	35	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	270	364	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-ee-tis-allergy-patient-reported.json	9719	7	0	31	0	0	0	0	0	24	0	0	0	0	0	0	0	1	0	0	273	241	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-ee-tis-allergy-reaction-grouper.json	1500	1	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	40	63	0	0	0	1	0	0
/fsh-generated/includes/menu.xml	2103	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	1265	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/downloads.xml	1148	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0
/input/pagecontent/knownissues.md	109	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/changes.xml	478	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0
/input/pagecontent/controls.md	13	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/index.md	342	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/operations.md	13	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/guidance.md	11	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/search.xml	445	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0
/input/pagecontent/checklist.md	128	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/contacts.md	377	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/documentation.md	111	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/usecases.md	12	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/other.md	9	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config/_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/sample.png	2028720	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
/input/images/robots.txt	24	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/temp/pages/_includes/artifacts.xml	8991	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0
